Day,P2P Buying Price (Rs),BTC Rate (USD),USD to LKR Price,BTC vs LKR,P2P Premium
2021-01-01,,28924.11397,186.0,5379885.198419999,
2021-01-02,,29338.24401,186.0,5456913.38586,
2021-01-03,,32180.0194,186.0,5985483.6084,
2021-01-04,,33002.97284,186.0,6138552.948240001,
2021-01-05,,31994.37607,187.5,5998945.513125,
2021-01-06,,33953.20331,187.5,6366225.6206249995,
2021-01-07,,36765.46408,187.0,6875141.7829599995,
2021-01-08,,39433.04761,187.0,7373979.90307,
2021-01-09,,40583.16319,187.0,7589051.51653,
2021-01-10,,40091.57322,187.0,7497124.19214,
2021-01-11,,38157.38837,188.0,7173589.01356,
2021-01-12,,35413.2824,189.0,6693110.3736,
2021-01-13,,34052.98038,191.5,6521145.74277,
2021-01-14,,37371.49907,191.5,7156642.071904999,
2021-01-15,,39156.75443,192.5,7537675.227775,
2021-01-16,,36746.85542,192.5,7073769.66835,
2021-01-17,,35996.66619,192.5,6929358.241575001,
2021-01-18,,35831.61139,192.0,6879669.386879999,
2021-01-19,,36627.68186,192.0,7032514.917119999,
2021-01-20,,35894.48988,195.0,6999425.5266,
2021-01-21,,35474.44876,195.5,6935254.73258,
2021-01-22,,30849.80792,197.0,6077412.16024,
2021-01-23,,32953.76796,197.0,6491892.28812,
2021-01-24,,32082.75378,197.0,6320302.494659999,
2021-01-25,,32259.17494,197.0,6355057.46318,
2021-01-26,,32260.74015,195.0,6290844.32925,
2021-01-27,,32473.21726,192.25,6242976.018235,
2021-01-28,,30365.42756,192.25,5837753.44841,
2021-01-29,,33375.94776,190.5,6358118.048280001,
2021-01-30,,34246.78902,190.5,6524013.308309999,
2021-01-31,,34264.64001,190.5,6527413.921905001,
2021-02-01,,33097.50149,193.5,6404366.538315,
2021-02-02,,33519.69585,193.5,6486061.146974999,
2021-02-03,,35465.31231,193.0,6844805.275830001,
2021-02-04,,37618.85928,193.0,7260439.841039999,
2021-02-05,,36938.74815,193.0,7129178.39295,
2021-02-06,,38294.60994,193.0,7390859.718420001,
2021-02-07,,39201.38312,193.0,7565866.94216,
2021-02-08,,38803.90752,194.5,7547360.01264,
2021-02-09,,46368.3588,195.0,9041829.966,
